request_id,timestamp,user_query,intent,available_tools,chosen_tool,oracle_tool,tool_result,success,failure_type,cost,latency_ms,requires_approval,approval_granted,unsafe_action,human_rating,policy_version,propensity_score,reward
req_00015,2026-01-01T01:30:00+00:00,Please refund charge C10015,refund_request,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|support.create_task|support.search_tickets,crm.search_customer,billing.issue_refund,not_resolved,False,wrong_tool_selected,0.0224,71,False,True,False,3,historical_v1,0.040201,0.6
req_00016,2026-01-01T01:36:00+00:00,Please refund charge C10016,refund_request,audit.export_case|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|email.send_reply|support.create_task|support.search_tickets,billing.issue_refund,billing.issue_refund,not_resolved,False,unsafe_action,0.5031,464,True,False,True,3,historical_v1,0.658537,0.6
req_00017,2026-01-01T01:42:00+00:00,Export full case history for C10017,audit_export,audit.export_case|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|email.send_reply|support.create_task|support.search_tickets,docs.search_policy,audit.export_case,not_resolved,False,wrong_tool_selected,0.0381,93,False,True,False,3,historical_v1,0.04878,0.6
req_00018,2026-01-01T01:48:00+00:00,I need invoice details for order C10018,invoice_question,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|email.send_reply|support.search_tickets,crm.search_customer,billing.get_invoice,not_resolved,False,wrong_tool_selected,0.021,85,False,True,False,1,historical_v1,0.04878,0.2
req_00019,2026-01-01T01:54:00+00:00,What policy applies to chargebacks for C10019?,policy_lookup,audit.export_case|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|support.create_task|support.search_tickets,docs.search_policy,docs.search_policy,resolved,True,,0.0471,108,False,True,False,5,historical_v1,0.692308,1.0
req_00020,2026-01-01T02:00:00+00:00,Any updates on support ticket C10020?,ticket_status,billing.get_invoice|billing.issue_refund|email.draft_reply|email.send_reply|support.create_task|support.search_tickets,support.search_tickets,support.search_tickets,resolved,True,,0.0329,108,False,True,False,5,historical_v1,0.72973,1.0
req_00021,2026-01-01T02:06:00+00:00,Please refund charge C10021,refund_request,audit.export_case|billing.get_invoice|billing.issue_refund|docs.search_policy|support.create_task|support.search_tickets,billing.issue_refund,billing.issue_refund,resolved,True,,0.5583,386,True,True,False,5,historical_v1,0.590164,1.0
req_00022,2026-01-01T02:12:00+00:00,Export full case history for C10022,audit_export,audit.export_case|billing.issue_refund|crm.search_customer|email.send_reply|support.create_task|support.search_tickets,email.send_reply,audit.export_case,not_resolved,False,wrong_tool_selected,0.111,95,False,True,False,1,historical_v1,0.054054,0.2
req_00023,2026-01-01T02:18:00+00:00,Create a task: password reset keeps failing for C10023,new_issue,audit.export_case|docs.search_policy|email.draft_reply|email.send_reply|support.create_task,support.create_task,support.create_task,resolved,True,,0.0764,205,False,True,False,5,historical_v1,0.771429,1.0
req_00024,2026-01-01T02:24:00+00:00,Create a task: password reset keeps failing for C10024,new_issue,audit.export_case|billing.get_invoice|docs.search_policy|email.draft_reply|support.create_task|support.search_tickets,support.create_task,support.create_task,resolved,True,,0.0751,180,False,True,False,5,historical_v1,0.72973,1.0
req_00025,2026-01-01T02:30:00+00:00,Any updates on support ticket C10025?,ticket_status,audit.export_case|billing.issue_refund|docs.search_policy|email.draft_reply|email.send_reply|support.search_tickets,support.search_tickets,support.search_tickets,resolved,True,,0.036,103,False,True,False,5,historical_v1,0.72973,1.0
req_00026,2026-01-01T02:36:00+00:00,Find account info for customer C10026,customer_lookup,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|support.search_tickets,crm.search_customer,crm.search_customer,resolved,True,,0.0239,78,False,True,False,5,historical_v1,0.692308,1.0
req_00027,2026-01-01T02:42:00+00:00,Please refund charge C10027,refund_request,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|docs.search_policy|email.send_reply|support.create_task|support.search_tickets,docs.search_policy,billing.issue_refund,not_resolved,False,wrong_tool_selected,0.0464,100,False,True,False,2,historical_v1,0.040201,0.4
req_00028,2026-01-01T02:48:00+00:00,Can you handle this account issue quickly for C10028?,ambiguous,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|support.create_task|support.search_tickets,support.search_tickets,docs.search_policy,not_resolved,False,ambiguous_request,0.0298,119,False,True,False,1,historical_v1,0.385827,0.2
req_00029,2026-01-01T02:54:00+00:00,Draft a response for customer C10029 about policy,draft_reply,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|email.send_reply|support.create_task|support.search_tickets,billing.get_invoice,email.draft_reply,not_resolved,False,expensive_tool_selected,0.0453,126,False,True,False,1,historical_v1,0.04,0.2
req_00030,2026-01-01T03:00:00+00:00,I need invoice details for order C10030,invoice_question,billing.get_invoice|crm.search_customer|docs.search_policy|email.send_reply,billing.get_invoice,billing.get_invoice,resolved,True,,0.0457,153,False,True,False,5,historical_v1,0.818182,1.0
req_00031,2026-01-01T03:06:00+00:00,Export full case history for C10031,audit_export,audit.export_case|crm.search_customer|email.draft_reply|support.create_task|support.search_tickets,support.create_task,audit.export_case,not_resolved,False,wrong_tool_selected,0.0884,191,False,True,False,1,historical_v1,0.057143,0.2
req_00032,2026-01-01T03:12:00+00:00,I need invoice details for order C10032,invoice_question,billing.get_invoice|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|email.send_reply|support.search_tickets,billing.get_invoice,billing.get_invoice,stale_retry,False,stale_data_retry,0.057,149,False,True,False,3,historical_v1,0.692308,0.6
req_00033,2026-01-01T03:18:00+00:00,Export full case history for C10033,audit_export,audit.export_case|billing.get_invoice|crm.search_customer|email.send_reply|support.search_tickets,audit.export_case,audit.export_case,resolved,True,,0.6461,728,True,True,False,5,historical_v1,0.771429,1.0
req_00034,2026-01-01T03:24:00+00:00,Create a task: password reset keeps failing for C10034,new_issue,audit.export_case|billing.get_invoice|billing.issue_refund|docs.search_policy|email.draft_reply|support.create_task|support.search_tickets,audit.export_case,support.create_task,not_resolved,False,over_escalation,0.6864,671,True,True,False,3,historical_v1,0.051282,0.6
req_00035,2026-01-01T03:30:00+00:00,Any updates on support ticket C10035?,ticket_status,billing.get_invoice|billing.issue_refund|docs.search_policy|email.draft_reply|support.create_task|support.search_tickets,support.search_tickets,support.search_tickets,stale_retry,False,stale_data_retry,0.0311,141,False,True,False,2,historical_v1,0.72973,0.4
req_00036,2026-01-01T03:36:00+00:00,Create a task: password reset keeps failing for C10036,new_issue,audit.export_case|crm.search_customer|docs.search_policy|email.send_reply|support.create_task|support.search_tickets,support.create_task,support.create_task,resolved,True,,0.0747,169,False,True,False,5,historical_v1,0.72973,1.0
req_00037,2026-01-01T03:42:00+00:00,What policy applies to chargebacks for C10037?,policy_lookup,audit.export_case|billing.get_invoice|billing.issue_refund|docs.search_policy|email.draft_reply|email.send_reply|support.create_task|support.search_tickets,docs.search_policy,docs.search_policy,not_resolved,False,,0.045,106,False,True,False,1,historical_v1,0.658537,0.2
req_00038,2026-01-01T03:48:00+00:00,Any updates on support ticket C10038?,ticket_status,audit.export_case|billing.issue_refund|docs.search_policy|email.send_reply|support.create_task|support.search_tickets,support.search_tickets,support.search_tickets,stale_retry,False,stale_data_retry,0.0279,142,False,True,False,2,historical_v1,0.72973,0.4
req_00039,2026-01-01T03:54:00+00:00,Please refund charge C10039,refund_request,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|support.create_task|support.search_tickets,support.create_task,billing.issue_refund,not_resolved,False,wrong_tool_selected,0.0946,181,False,True,False,3,historical_v1,0.043716,0.6
req_00040,2026-01-01T04:00:00+00:00,I need invoice details for order C10040,invoice_question,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|email.draft_reply|email.send_reply|support.create_task,billing.get_invoice,billing.get_invoice,resolved,True,,0.0596,124,False,True,False,5,historical_v1,0.692308,1.0
req_00041,2026-01-01T04:06:00+00:00,Any updates on support ticket C10041?,ticket_status,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|support.create_task|support.search_tickets,support.search_tickets,support.search_tickets,resolved,True,,0.0283,111,False,True,False,5,historical_v1,0.658537,1.0
req_00042,2026-01-01T04:12:00+00:00,I need invoice details for order C10042,invoice_question,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|email.draft_reply|email.send_reply|support.search_tickets,billing.issue_refund,billing.get_invoice,not_resolved,False,over_escalation,0.4905,517,True,True,False,2,historical_v1,0.051282,0.4
req_00043,2026-01-01T04:18:00+00:00,Create a task: password reset keeps failing for C10043,new_issue,audit.export_case|billing.get_invoice|crm.search_customer|email.send_reply|support.create_task|support.search_tickets,support.create_task,support.create_task,resolved,True,,0.0915,210,False,True,False,5,historical_v1,0.72973,1.0
req_00044,2026-01-01T04:24:00+00:00,Please refund charge C10044,refund_request,billing.issue_refund|crm.search_customer|email.draft_reply|email.send_reply|support.create_task|support.search_tickets,support.search_tickets,billing.issue_refund,not_resolved,False,wrong_tool_selected,0.0292,107,False,True,False,1,historical_v1,0.054054,0.2
req_00045,2026-01-01T04:30:00+00:00,Please refund charge C10045,refund_request,audit.export_case|billing.issue_refund|crm.search_customer|docs.search_policy|email.send_reply|support.create_task,billing.issue_refund,billing.issue_refund,not_resolved,False,unsafe_action,0.5468,437,True,False,True,1,historical_v1,0.72973,0.2
req_00046,2026-01-01T04:36:00+00:00,Create a task: password reset keeps failing for C10046,new_issue,billing.get_invoice|crm.search_customer|docs.search_policy|email.send_reply|support.create_task|support.search_tickets,billing.get_invoice,support.create_task,not_resolved,False,wrong_tool_selected,0.0531,162,False,True,False,2,historical_v1,0.054054,0.4
req_00047,2026-01-01T04:42:00+00:00,Draft a response for customer C10047 about policy,draft_reply,audit.export_case|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|support.create_task|support.search_tickets,email.draft_reply,email.draft_reply,resolved,True,,0.0098,78,False,True,False,5,historical_v1,0.692308,1.0
req_00048,2026-01-01T04:48:00+00:00,Draft a response for customer C10048 about policy,draft_reply,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|email.draft_reply|support.search_tickets,crm.search_customer,email.draft_reply,not_resolved,False,expensive_tool_selected,0.0238,77,False,True,False,1,historical_v1,0.054054,0.2
req_00049,2026-01-01T04:54:00+00:00,Any updates on support ticket C10049?,ticket_status,billing.get_invoice|crm.search_customer|docs.search_policy|email.draft_reply|support.create_task|support.search_tickets,crm.search_customer,support.search_tickets,not_resolved,False,wrong_tool_selected,0.0216,97,False,True,False,1,historical_v1,0.054054,0.2
req_00050,2026-01-01T05:00:00+00:00,Any updates on support ticket C10050?,ticket_status,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|support.create_task|support.search_tickets,crm.search_customer,support.search_tickets,not_resolved,False,wrong_tool_selected,0.0191,88,False,True,False,3,historical_v1,0.04878,0.6
req_00051,2026-01-01T05:06:00+00:00,What policy applies to chargebacks for C10051?,policy_lookup,audit.export_case|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|email.send_reply|support.create_task|support.search_tickets,support.search_tickets,docs.search_policy,not_resolved,False,policy_skipped,0.0281,148,False,True,False,1,historical_v1,0.04878,0.2
req_00052,2026-01-01T05:12:00+00:00,Send the prepared reply now to customer C10052,send_reply,audit.export_case|crm.search_customer|email.draft_reply|email.send_reply|support.create_task|support.search_tickets,email.send_reply,email.send_reply,resolved,True,,0.1091,101,False,True,False,5,historical_v1,0.6,1.0
req_00053,2026-01-01T05:18:00+00:00,Send the prepared reply now to customer C10053,send_reply,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|docs.search_policy|support.create_task,crm.search_customer,email.send_reply,not_resolved,False,insufficient_tool_coverage,0.0196,90,False,True,False,2,historical_v1,0.166667,0.4
req_00054,2026-01-01T05:24:00+00:00,Create a task: password reset keeps failing for C10054,new_issue,billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|support.create_task,support.create_task,support.create_task,resolved,True,,0.0939,199,False,True,False,5,historical_v1,0.771429,1.0
req_00055,2026-01-01T05:30:00+00:00,Please refund charge C10055,refund_request,audit.export_case|billing.get_invoice|billing.issue_refund|docs.search_policy|email.send_reply,billing.issue_refund,billing.issue_refund,resolved,True,,0.5629,427,True,True,False,5,historical_v1,0.617143,1.0
req_00056,2026-01-01T05:36:00+00:00,I need invoice details for order C10056,invoice_question,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|email.send_reply|support.create_task|support.search_tickets,billing.get_invoice,billing.get_invoice,resolved,True,,0.0476,117,False,True,False,5,historical_v1,0.627907,1.0
req_00057,2026-01-01T05:42:00+00:00,What policy applies to chargebacks for C10057?,policy_lookup,audit.export_case|crm.search_customer|docs.search_policy|email.draft_reply,docs.search_policy,docs.search_policy,resolved,True,,0.039,85,False,True,False,5,historical_v1,0.818182,1.0
req_00058,2026-01-01T05:48:00+00:00,Please refund charge C10058,refund_request,audit.export_case|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|email.send_reply|support.create_task|support.search_tickets,billing.issue_refund,billing.issue_refund,not_resolved,False,,0.5824,424,True,True,False,2,historical_v1,0.658537,0.4
req_00059,2026-01-01T05:54:00+00:00,Draft a response for customer C10059 about policy,draft_reply,billing.get_invoice|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|support.search_tickets,email.draft_reply,email.draft_reply,resolved,True,,0.0113,85,False,True,False,5,historical_v1,0.72973,1.0
req_00060,2026-01-01T06:00:00+00:00,I need invoice details for order C10060,invoice_question,billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|support.create_task|support.search_tickets,support.create_task,billing.get_invoice,not_resolved,False,insufficient_tool_coverage,0.0917,172,False,True,False,2,historical_v1,0.166667,0.4
req_00061,2026-01-01T06:06:00+00:00,Please refund charge C10061,refund_request,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|email.draft_reply|support.create_task|support.search_tickets,billing.issue_refund,billing.issue_refund,resolved,True,,0.4907,560,True,True,False,5,historical_v1,0.565445,1.0
req_00062,2026-01-01T06:12:00+00:00,Create a task: password reset keeps failing for C10062,new_issue,audit.export_case|billing.get_invoice|crm.search_customer|email.draft_reply|support.create_task,support.create_task,support.create_task,resolved,True,,0.0946,174,False,True,False,5,historical_v1,0.771429,1.0
req_00063,2026-01-01T06:18:00+00:00,Please refund charge C10063,refund_request,audit.export_case|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|email.send_reply|support.create_task,email.send_reply,billing.issue_refund,not_resolved,False,unsafe_action,0.1112,109,False,True,True,2,historical_v1,0.051282,0.4
req_00064,2026-01-01T06:24:00+00:00,Export full case history for C10064,audit_export,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|email.draft_reply|support.create_task|support.search_tickets,crm.search_customer,audit.export_case,not_resolved,False,wrong_tool_selected,0.0183,97,False,True,False,2,historical_v1,0.051282,0.4
req_00065,2026-01-01T06:30:00+00:00,Find account info for customer C10065,customer_lookup,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|email.send_reply,crm.search_customer,crm.search_customer,resolved,True,,0.0214,69,False,True,False,5,historical_v1,0.771429,1.0
req_00066,2026-01-01T06:36:00+00:00,Export full case history for C10066,audit_export,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|email.draft_reply,audit.export_case,audit.export_case,resolved,True,,0.8083,696,True,True,False,5,historical_v1,0.771429,1.0
req_00067,2026-01-01T06:42:00+00:00,Send the prepared reply now to customer C10067,send_reply,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|email.draft_reply|email.send_reply|support.create_task|support.search_tickets,email.send_reply,email.send_reply,resolved,True,,0.1375,118,False,True,False,5,historical_v1,0.55102,1.0
req_00068,2026-01-01T06:48:00+00:00,What policy applies to chargebacks for C10068?,policy_lookup,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|support.search_tickets,email.draft_reply,docs.search_policy,not_resolved,False,policy_skipped,0.0099,79,False,True,False,1,historical_v1,0.051282,0.2
req_00069,2026-01-01T06:54:00+00:00,Find account info for customer C10069,customer_lookup,audit.export_case|crm.search_customer|email.draft_reply|email.send_reply|support.create_task,email.draft_reply,crm.search_customer,not_resolved,False,wrong_tool_selected,0.0099,82,False,True,False,1,historical_v1,0.057143,0.2
req_00070,2026-01-01T07:00:00+00:00,Any updates on support ticket C10070?,ticket_status,audit.export_case|billing.get_invoice|crm.search_customer|docs.search_policy|email.draft_reply|support.search_tickets,support.search_tickets,support.search_tickets,resolved,True,,0.0316,117,False,True,False,5,historical_v1,0.72973,1.0
req_00071,2026-01-01T07:06:00+00:00,Find account info for customer C10071,customer_lookup,billing.get_invoice|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|support.create_task|support.search_tickets,billing.get_invoice,crm.search_customer,not_resolved,False,expensive_tool_selected,0.0579,160,False,True,False,2,historical_v1,0.051282,0.4
req_00072,2026-01-01T07:12:00+00:00,Export full case history for C10072,audit_export,audit.export_case|crm.search_customer|docs.search_policy|support.create_task|support.search_tickets,audit.export_case,audit.export_case,resolved,True,,0.6471,565,True,True,False,5,historical_v1,0.771429,1.0
req_00073,2026-01-01T07:18:00+00:00,Can you handle this account issue quickly for C10073?,ambiguous,audit.export_case|billing.get_invoice|docs.search_policy|email.send_reply|support.create_task|support.search_tickets,billing.get_invoice,docs.search_policy,not_resolved,False,ambiguous_request,0.0472,142,False,True,False,2,historical_v1,0.033613,0.4
req_00074,2026-01-01T07:24:00+00:00,Send the prepared reply now to customer C10074,send_reply,audit.export_case|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|email.send_reply|support.search_tickets,email.draft_reply,email.send_reply,not_resolved,False,wrong_tool_selected,0.0097,75,False,True,False,3,historical_v1,0.212766,0.6
req_00075,2026-01-01T07:30:00+00:00,Please refund charge C10075,refund_request,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|email.send_reply|support.search_tickets,docs.search_policy,billing.issue_refund,not_resolved,False,wrong_tool_selected,0.0454,90,False,True,False,2,historical_v1,0.040201,0.4
req_00076,2026-01-01T07:36:00+00:00,Find account info for customer C10076,customer_lookup,audit.export_case|crm.search_customer|docs.search_policy|email.draft_reply|email.send_reply|support.create_task|support.search_tickets,audit.export_case,crm.search_customer,not_resolved,False,over_escalation,0.6353,554,True,True,False,1,historical_v1,0.051282,0.2
req_00077,2026-01-01T07:42:00+00:00,Find account info for customer C10077,customer_lookup,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|email.send_reply|support.create_task,crm.search_customer,crm.search_customer,resolved,True,,0.0218,99,False,True,False,5,historical_v1,0.658537,1.0
req_00078,2026-01-01T07:48:00+00:00,What policy applies to chargebacks for C10078?,policy_lookup,audit.export_case|billing.get_invoice|docs.search_policy|email.send_reply|support.create_task,docs.search_policy,docs.search_policy,stale_retry,False,stale_data_retry,0.04,103,False,True,False,3,historical_v1,0.771429,0.6
req_00079,2026-01-01T07:54:00+00:00,Create a task: password reset keeps failing for C10079,new_issue,billing.get_invoice|billing.issue_refund|docs.search_policy|email.draft_reply|email.send_reply|support.create_task|support.search_tickets,support.create_task,support.create_task,not_resolved,False,,0.0782,160,False,True,False,3,historical_v1,0.692308,0.6
req_00080,2026-01-01T08:00:00+00:00,Any updates on support ticket C10080?,ticket_status,billing.issue_refund|docs.search_policy|email.draft_reply|support.create_task|support.search_tickets,support.search_tickets,support.search_tickets,resolved,True,,0.0333,143,False,True,False,5,historical_v1,0.771429,1.0
req_00081,2026-01-01T08:06:00+00:00,Send the prepared reply now to customer C10081,send_reply,audit.export_case|billing.get_invoice|docs.search_policy|email.draft_reply|email.send_reply|support.create_task,docs.search_policy,email.send_reply,not_resolved,False,wrong_tool_selected,0.0435,82,False,True,False,1,historical_v1,0.044444,0.2
req_00082,2026-01-01T08:12:00+00:00,Find account info for customer C10082,customer_lookup,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|email.draft_reply|support.create_task|support.search_tickets,support.search_tickets,crm.search_customer,not_resolved,False,expensive_tool_selected,0.0318,133,False,True,False,3,historical_v1,0.051282,0.6
req_00083,2026-01-01T08:18:00+00:00,Send the prepared reply now to customer C10083,send_reply,audit.export_case|billing.get_invoice|billing.issue_refund|crm.search_customer|email.send_reply|support.search_tickets,email.send_reply,email.send_reply,resolved,True,,0.1115,115,False,True,False,5,historical_v1,0.72973,1.0
req_00084,2026-01-01T08:24:00+00:00,Any updates on support ticket C10084?,ticket_status,billing.get_invoice|billing.issue_refund|crm.search_customer|email.draft_reply|support.search_tickets,support.search_tickets,support.search_tickets,resolved,True,,0.0337,139,False,True,False,5,historical_v1,0.771429,1.0
req_00085,2026-01-01T08:30:00+00:00,Find account info for customer C10085,customer_lookup,billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|support.create_task,crm.search_customer,crm.search_customer,stale_retry,False,stale_data_retry,0.0192,92,False,True,False,1,historical_v1,0.771429,0.2
req_00086,2026-01-01T08:36:00+00:00,Find account info for customer C10086,customer_lookup,audit.export_case|billing.get_invoice|crm.search_customer|docs.search_policy|email.draft_reply,crm.search_customer,crm.search_customer,resolved,True,,0.0194,73,False,True,False,5,historical_v1,0.771429,1.0
req_00087,2026-01-01T08:42:00+00:00,I need invoice details for order C10087,invoice_question,billing.get_invoice|billing.issue_refund|crm.search_customer|email.draft_reply|support.create_task|support.search_tickets,billing.get_invoice,billing.get_invoice,resolved,True,,0.0514,138,False,True,False,5,historical_v1,0.72973,1.0
req_00088,2026-01-01T08:48:00+00:00,Please refund charge C10088,refund_request,audit.export_case|billing.issue_refund|crm.search_customer|docs.search_policy|support.create_task|support.search_tickets,billing.issue_refund,billing.issue_refund,resolved,True,,0.5493,516,True,True,False,5,historical_v1,0.72973,1.0
req_00089,2026-01-01T08:54:00+00:00,Please refund charge C10089,refund_request,audit.export_case|billing.issue_refund|crm.search_customer|docs.search_policy|email.draft_reply|support.create_task|support.search_tickets,crm.search_customer,billing.issue_refund,not_resolved,False,wrong_tool_selected,0.023,87,False,True,False,3,historical_v1,0.051282,0.6
req_00090,2026-01-01T09:00:00+00:00,Please refund charge C10090,refund_request,billing.issue_refund|email.send_reply|support.create_task|support.search_tickets,billing.issue_refund,billing.issue_refund,resolved,True,,0.4726,409,True,True,False,5,historical_v1,0.818182,1.0
req_00091,2026-01-01T09:06:00+00:00,Create a task: password reset keeps failing for C10091,new_issue,audit.export_case|billing.get_invoice|billing.issue_refund|docs.search_policy|email.draft_reply|email.send_reply|support.create_task|support.search_tickets,support.create_task,support.create_task,resolved,True,,0.084,187,False,True,False,5,historical_v1,0.658537,1.0
req_00092,2026-01-01T09:12:00+00:00,What policy applies to chargebacks for C10092?,policy_lookup,audit.export_case|billing.get_invoice|crm.search_customer|docs.search_policy|support.create_task|support.search_tickets,docs.search_policy,docs.search_policy,resolved,True,,0.0465,99,False,True,False,5,historical_v1,0.72973,1.0
